0,1,2,3,target
4,42,47,34,Draksharishta
0,105,65,41,Murivenna Tail
25,99,0,13,Balarishta
63,105,65,41,"Trinapanchamula
Kvatha Churna"
76,44,30,21,Kumaryasava
37,74,65,41,"Jaharamohara
Bhasma"
119,105,65,41,Phala Ghrita
43,100,65,41,Marichyadi Taila
83,19,4,28,"Pathyadi
Kvatha(Shadanga)
Churna"
4,6,65,41,Shankha Bhasma
85,67,27,41,Punarnavasava
77,43,65,41,Rajahpravartini Vati
29,27,3,1,Kanchanara Guggulu
73,74,65,41,Amalaki Churna
45,82,56,16,"Kushmandaka
Rasayana"
72,94,18,12,Rohitakarishta
39,97,33,29,"Rasnasaptaka
Kashaya Churna"
54,31,65,41,Trivritamul Churna /Trivrita Churna
6,1,42,41,Yogaraja Guggulu
2,105,65,41,Shveta Malaham
43,100,65,41,Marichyadi Taila
62,105,65,41,Gokshura Churna
62,105,65,41,Gokshura Churna
90,76,65,41,Navak Guggulu
28,91,65,41,Panchatikta Ghrita
102,16,57,20,Vatagajankusha Rasa
85,67,27,41,Punarnavasava
21,12,28,9,Triphala Guggulu
88,42,32,36,"Dashmula Katutraya
Kvatha Churna"
45,82,21,41,Dhanvantar Gutika
45,82,39,41,Vasakasava
117,101,65,41,Jatyadi Taila
76,44,30,21,Kumaryasava
48,53,65,41,Vidanga Churna
4,80,65,41,"Hingvashtaka
Churna"
101,26,13,41,Amritadi Guggulu
49,46,65,41,Bala Taila
38,18,46,41,Navajivana Rasa
85,81,65,41,Bilvadi Churna
42,90,65,41,Triphala Ghrita
117,101,65,41,Jatyadi Taila
41,35,65,41,"Samshamani Vati
/ Guduchighana Vati"
30,15,1,39,Shankha Vati
10,50,49,32,Sarasvatarishta
80,105,65,41,Panchaguna Taila
32,75,0,41,Kutajarishta
62,105,65,41,Gokshura Churna
50,103,65,41,"Laghumalini Vasanta
Rasa"
119,105,65,41,Phala Ghrita
69,42,47,41,Chitraka Haritaki
45,82,38,15,Kanakasava
49,46,65,41,Bala Taila
97,31,12,2,Kalyanak Guda
31,1,18,30,Pippalyadyasava
66,37,19,6,Drakshavaleha
103,24,36,41,Dashamularishta
24,2,55,0,Arka Pudina
31,15,65,41,Dadimastak Churna
12,3,65,41,Trikatu Churna
91,1,9,8,Jirakadyarishta
85,67,27,41,Punarnavasava
110,38,65,41,"Sahacharadi Taila/
Brihatsahcharadi
Taila"
30,15,1,39,Shankha Vati
17,14,8,41,Lakshadi Guggulu
21,12,28,9,Triphala Guggulu
45,82,52,25,Vyaghri Haritaki
100,68,51,7,"Puga Khanda/
Supari Paka"
10,95,50,5,Brahmi Ghrita
98,36,34,41,Muktashukti Bhasma
65,11,65,41,"Elanirkuzambu/N
alikeranjana"
59,23,65,41,"Dashanasanskara
Churna"
15,56,65,41,"Varunadi Kvatha
Churna"
20,17,65,41,Aravindasava
102,16,57,20,Vatagajankusha Rasa
50,24,65,41,Ashvagandha Churna
65,11,65,41,"Elanirkuzambu/N
alikeranjana"
87,30,65,41,"Ajamodadi
Churna"
61,9,43,33,"Ashvagandharisht
a"
39,97,33,29,"Rasnasaptaka
Kashaya Churna"
75,104,7,19,Shatavariguda
24,2,55,0,Arka Pudina
102,46,65,41,"Indukantam
Kashayam Churna"
45,82,22,22,Vasavaleha
107,58,65,41,Mahanarayan Taila
105,99,65,41,"Kshirbala Taila /
Kshirbala Taila
Avarti (Shatapaki)"
14,33,31,41,Drakshasava
53,36,59,12,Guduchi Churna
3,64,22,41,"Guduchyadi Kashaya
Churna"
13,105,65,41,Kasisadi Taila
34,29,35,41,"Kshirashatpala
Ghrita"
59,23,65,41,"Dashanasanskara
Churna"
96,105,65,41,Tiktaka Ghrita
88,42,32,36,"Dashmula Katutraya
Kvatha Churna"
54,31,65,41,Trivritamul Churna /Trivrita Churna
45,82,56,16,"Kushmandaka
Rasayana"
41,40,65,41,Sphatika Bhasma
45,82,65,41,"Tankana Bhasma/
Saubhagya Bhasma"
97,7,65,41,Pippali mula Churna
70,105,65,41,"Laghu Sutashekhara
Rasa"
76,44,30,21,Kumaryasava
20,105,65,41,"Balashvagandhadi
Taila"
31,1,18,30,Pippalyadyasava
66,37,19,6,Drakshavaleha
97,7,65,41,Pippali mula Churna
112,93,65,41,"Gandharvahasta
Taila"
42,61,65,41,Mandur Bhasma
8,69,29,41,Triphala Churna
73,105,65,41,Chandraprabha Vati
45,82,14,41,Eladi Gutika
7,74,65,41,Kamadudha Rasa
66,37,19,6,Drakshavaleha
41,71,23,41,Tribhuvankirti Rasa
37,32,20,18,"Arjunarishta/
Parthadyarishta"
44,105,65,41,Saindhavadi Taila
101,26,13,41,Amritadi Guggulu
7,74,65,41,Kamadudha Rasa
119,105,65,41,Phala Ghrita
9,51,65,41,"Sarpagandhaghana
Vati"
26,105,65,41,Shadabindu Taila
45,82,52,25,Vyaghri Haritaki
12,3,65,41,Trikatu Churna
10,50,49,32,Sarasvatarishta
93,1,2,41,"Arka Yavani/Arka
Ajvayana"
25,99,0,13,Balarishta
81,35,65,41,Amritarishta
30,15,65,41,Panchamrita Parpati
73,68,6,41,"Lodhrasava/Rodh
rasava"
87,30,65,41,"Ajamodadi
Churna"
36,33,65,41,Akika Pishti
117,21,65,41,Jathyadi Ghrita
50,24,65,41,Ashvagandha Churna
19,41,65,41,"Apamargkshara
Taila"
102,46,65,41,"Indukantam
Kashayam Churna"
47,8,65,41,Karpuradi Taila
54,31,65,41,Trivritamul Churna /Trivrita Churna
113,105,65,41,Sukumar Ghrita
61,9,43,33,"Ashvagandharisht
a"
18,72,60,41,Jatiphaladya Churna
4,105,65,41,Chitrakadi Gutika
20,17,65,41,Aravindasava
88,42,25,41,Sitopaladi Churna
28,91,65,41,Panchatikta Ghrita
113,105,65,41,Sukumar Ghrita
66,37,44,10,Lohasava
66,37,21,41,Navayasa Lauha
95,48,24,1,Khadirarishta
8,69,29,41,Triphala Churna
60,105,65,41,"Khadiradi Gutika
(Mukhroga)"
55,0,45,14,"Arka Shatpushpa/
Mishr eyarka"
23,10,11,38,Kalyanaka Ghrita
89,48,65,41,"Somaraji Taila
/Bakuchi Taila"
19,41,65,41,"Apamargkshara
Taila"
22,52,65,41,Brahmi Vati
47,8,65,41,Karpuradi Taila
73,105,65,41,Chandraprabha Vati
96,105,65,41,Tiktaka Ghrita
107,62,65,41,Narayana Taila
45,82,65,41,Eladi Churna
41,15,10,41,"Balachaturbhadra
Churna"
60,105,65,41,"Khadiradi Gutika
(Mukhroga)"
39,97,33,29,"Rasnasaptaka
Kashaya Churna"
89,48,65,41,"Somaraji Taila
/Bakuchi Taila"
56,34,65,41,Brahama Rasayana
54,105,65,41,Abhayadi Modakam
42,61,65,41,"Phalatrikadi Kvatha
Churna"
58,85,65,41,Sarasvata Churna
117,101,65,41,Jatyadi Taila
107,30,65,41,Prasarini Taila
41,88,45,27,"Dashamula Kvatha
Churna"
19,41,65,41,"Apamargkshara
Taila"
84,39,15,31,"Haridrakhanda
Paka"
82,65,65,41,Godanti Bhasma
13,1,54,37,Abhayarishta
62,105,65,41,Gokshura Churna
9,51,65,41,"Sarpagandhaghana
Vati"
34,28,47,41,Apamarga Kshar
54,105,65,41,Abhayadi Modakam
61,9,43,33,"Ashvagandharisht
a"
41,98,65,41,Guduchi Sattva
23,10,11,38,Kalyanaka Ghrita
10,84,65,41,Smritisagara Rasa
107,59,65,41,"Dhanvantar
Taila/Dhanvantar
Taila Avarti"
54,105,65,41,Abhayadi Modakam
76,44,30,21,Kumaryasava
46,78,65,41,Bhringaraja Tail
108,70,63,17,Kaishora Guggulu
35,42,47,11,Kantakaryavaleha
73,105,65,41,Chandraprabha Vati
12,3,65,41,Trikatu Churna
62,105,65,41,Shatavaryadi Ghrita
37,32,20,18,"Arjunarishta/
Parthadyarishta"
59,105,65,41,Erimedadi Taila
110,38,65,41,"Sahacharadi Taila/
Brihatsahcharadi
Taila"
42,61,65,41,"Phalatrikadi Kvatha
Churna"
48,53,65,41,Vidanga Churna
32,75,0,41,Kutajarishta
93,1,2,41,"Arka Yavani/Arka
Ajvayana"
37,74,65,41,"Jaharamohara
Bhasma"
99,105,65,41,Anutaila
35,42,47,11,Kantakaryavaleha
93,1,2,41,"Arka Yavani/Arka
Ajvayana"
99,105,65,41,Anutaila
107,62,65,41,Narayana Taila
18,28,65,41,Kutajaghan Vati
106,22,65,41,Pinda Taila
56,34,65,41,Brahama Rasayana
45,82,65,41,"Tankana Bhasma/
Saubhagya Bhasma"
82,78,65,41,"Shirahshuladi vajra
Rasa"
108,70,63,17,Kaishora Guggulu
45,82,58,41,Shvasakuthara Rasa
67,105,65,41,Kapardika Bhasma
92,25,65,41,Saptamrita Lauha
79,42,47,40,Yashtimadhu/Madhuyashti/ Yashti Churna
82,65,65,41,Godanti Bhasma
67,105,65,41,Kapardika Bhasma
93,1,2,41,"Arka Yavani/Arka
Ajvayana"
39,97,33,29,"Rasnasaptaka
Kashaya Churna"
58,85,65,41,Sarasvata Churna
26,105,65,41,Shadabindu Taila
34,45,5,41,Kankayan Gutika
113,105,65,41,Sukumar Ghrita
45,82,21,41,Dhanvantar Gutika
13,1,54,37,Abhayarishta
95,48,24,1,Khadirarishta
67,105,65,41,Kapardika Bhasma
106,22,65,41,Pinda Taila
106,22,65,41,Pinda Taila
1,7,65,41,Yavakshar
87,93,62,41,Indu kanta Ghrita
71,22,53,23,Ushirasava
95,48,24,1,Khadirarishta
83,19,4,28,"Pathyadi
Kvatha(Shadanga)
Churna"
17,14,8,41,Lakshadi Guggulu
88,42,32,36,"Dashmula Katutraya
Kvatha Churna"
23,10,11,38,Kalyanaka Ghrita
45,82,56,16,"Kushmandaka
Rasayana"
4,105,65,41,Chitrakadi Gutika
38,18,46,41,Navajivana Rasa
55,0,45,14,"Arka Shatpushpa/
Mishr eyarka"
95,48,24,1,Khadirarishta
102,16,57,20,Vatagajankusha Rasa
41,15,10,41,"Balachaturbhadra
Churna"
35,42,47,11,Kantakaryavaleha
104,87,16,41,"Vatavidhavansan
Rasa"
79,36,47,41,Pippali Churna
21,12,65,41,Ksharsutra
75,104,7,19,Shatavariguda
89,48,65,41,"Somaraji Taila
/Bakuchi Taila"
57,95,21,41,Mukta Pishti
66,74,65,41,"Vasaguduchyadi
Kashaya Churna"
57,95,21,41,Mukta Pishti
65,11,65,41,"Elanirkuzambu/N
alikeranjana"
55,2,65,41,Sanjivani Vati
21,12,28,9,Triphala Guggulu
76,44,30,21,Kumaryasava
70,105,65,41,"Laghu Sutashekhara
Rasa"
87,30,65,41,"Ajamodadi
Churna"
81,35,65,41,Amritarishta
54,105,65,41,Abhayadi Modakam
33,5,65,41,Rasna Guggulu
39,97,33,29,"Rasnasaptaka
Kashaya Churna"
45,82,65,41,Talishadya Churna
42,90,65,41,Triphala Ghrita
45,82,65,41,Eladi Churna
50,24,65,41,Ashvagandha Churna
78,105,65,41,Pushyanuga Churna
0,105,65,41,Murivenna Tail
17,14,8,41,Lakshadi Guggulu
35,42,47,26,"Agastya Haritaki
/ Agastya
Rasayana"
45,82,40,41,"Chyavanprash
Avaleha"
111,94,65,41,Haritaki Churna
105,102,17,35,Punarnava Guggulu
53,36,59,12,Guduchi Churna
109,30,65,41,Eranda Taila
59,23,65,41,"Dashanasanskara
Churna"
31,1,18,30,Pippalyadyasava
34,29,35,41,"Kshirashatpala
Ghrita"
18,72,60,41,Jatiphaladya Churna
6,1,65,41,Shunthi Churna
45,82,38,15,Kanakasava
60,105,65,41,"Khadiradi Gutika
(Mukhroga)"
98,36,34,41,Muktashukti Bhasma
45,82,14,41,Eladi Gutika
42,61,65,41,"Phalatrikadi Kvatha
Churna"
12,3,65,41,Trikatu Churna
21,12,65,41,Ksharsutra
45,82,65,41,Talishadya Churna
2,105,65,41,Shveta Malaham
88,42,32,36,"Dashmula Katutraya
Kvatha Churna"
18,72,60,41,Jatiphaladya Churna
26,105,65,41,Shadabindu Taila
53,36,59,12,Guduchi Churna
27,12,65,41,Sarjarasa Malahara
41,98,65,41,Guduchi Sattva
75,104,7,19,Shatavariguda
59,23,65,41,"Dashanasanskara
Churna"
41,88,45,27,"Dashamula Kvatha
Churna"
34,45,5,41,Kankayan Gutika
91,1,9,8,Jirakadyarishta
16,83,64,41,Ashokarishta
108,70,63,17,Kaishora Guggulu
119,105,65,41,Phala Ghrita
72,94,18,12,Rohitakarishta
13,1,54,37,Abhayarishta
83,19,4,28,"Pathyadi
Kvatha(Shadanga)
Churna"
118,96,48,41,"Pancha-valkala
Kashaya Churna"
42,61,65,41,"Phalatrikadi Kvatha
Churna"
92,25,65,41,Saptamrita Lauha
45,82,58,41,Shvasakuthara Rasa
45,82,40,41,"Chyavanprash
Avaleha"
94,36,65,41,"Shadanga
Kvatha Churna"
102,16,57,20,Vatagajankusha Rasa
69,42,47,41,Chitraka Haritaki
102,16,57,20,Vatagajankusha Rasa
85,81,65,41,Bilvadi Churna
117,101,65,41,Jatyadi Taila
66,37,21,41,Navayasa Lauha
96,47,65,41,Nalpamaradi Taila
43,92,61,41,Aragvadharishta
38,18,46,41,Navajivana Rasa
45,82,65,41,Lavangadi Vati
107,62,65,41,Narayana Taila
110,38,65,41,"Sahacharadi Taila/
Brihatsahcharadi
Taila"
45,82,52,25,Vyaghri Haritaki
43,92,61,41,Aragvadharishta
52,53,65,41,"Arogyavardhini
Vati/Rasa"
112,93,65,41,"Gandharvahasta
Taila"
107,62,65,41,Narayana Taila
18,72,60,41,Jatiphaladya Churna
66,63,0,41,Dadimadi Ghrita
112,93,65,41,"Gandharvahasta
Taila"
80,105,65,41,Panchaguna Taila
34,28,47,41,Apamarga Kshar
104,87,16,41,"Vatavidhavansan
Rasa"
45,82,14,41,Eladi Gutika
62,105,65,41,Shatavaryadi Ghrita
87,93,62,41,Indu kanta Ghrita
45,82,52,25,Vyaghri Haritaki
40,13,0,24,Bilvadi Leha
97,31,12,2,Kalyanak Guda
4,31,65,41,"Lavanabhaskara
Churna/
Bhaskarlavan churna"
62,105,65,41,Gokshura Churna
25,99,0,13,Balarishta
114,86,65,41,Dashanga Lepa
4,31,65,41,"Lavanabhaskara
Churna/
Bhaskarlavan churna"
112,93,65,41,"Gandharvahasta
Taila"
44,105,65,41,Saindhavadi Taila
97,7,65,41,Pippali mula Churna
88,42,25,41,Sitopaladi Churna
33,105,65,41,"Trayodashanga
Guggulu"
31,1,18,30,Pippalyadyasava
97,31,12,2,Kalyanak Guda
45,82,52,25,Vyaghri Haritaki
42,61,65,41,Mandur Bhasma
119,105,65,41,Phala Ghrita
37,69,65,41,Arjuna Churna
13,105,65,41,Kasisadi Taila
46,78,65,41,Bhringaraja Tail
37,74,65,41,"Jaharamohara
Bhasma"
54,31,65,41,Trivritamul Churna /Trivrita Churna
46,78,65,41,Bhringaraja Tail
34,29,35,41,"Kshirashatpala
Ghrita"
53,36,59,12,Guduchi Churna
42,61,65,41,Mandur Bhasma
55,0,45,14,"Arka Shatpushpa/
Mishr eyarka"
23,10,11,38,Kalyanaka Ghrita
55,2,65,41,Sanjivani Vati
48,53,65,41,Vidanga Churna
22,52,65,41,Brahmi Vati
42,90,65,41,Triphala Ghrita
69,42,47,41,Chitraka Haritaki
111,94,65,41,Haritaki Churna
18,29,37,41,Kutajavaleha
102,105,65,41,"Guggulutiktaka
Ghrita"
118,96,48,41,"Pancha-valkala
Kashaya Churna"
18,28,65,41,Kutajaghan Vati
73,49,65,41,"Nisha-Amalaki
Churna"
102,105,65,41,"Guggulutiktaka
Ghrita"
49,46,65,41,Bala Taila
48,53,65,41,Vidanga Churna
55,2,65,41,Sanjivani Vati
102,105,65,41,"Guggulutiktaka
Ghrita"
88,42,25,41,Sitopaladi Churna
31,1,18,30,Pippalyadyasava
73,68,6,41,"Lodhrasava/Rodh
rasava"
21,12,65,41,Ksharsutra
37,24,65,41,Prabhakara Vati
60,105,65,41,"Khadiradi Gutika
(Mukhroga)"
66,37,19,6,Drakshavaleha
39,97,33,29,"Rasnasaptaka
Kashaya Churna"
75,104,7,19,Shatavariguda
3,64,22,41,"Guduchyadi Kashaya
Churna"
42,61,65,41,Mandur Bhasma
45,82,56,16,"Kushmandaka
Rasayana"
97,31,12,2,Kalyanak Guda
83,19,4,28,"Pathyadi
Kvatha(Shadanga)
Churna"
31,1,18,30,Pippalyadyasava
87,30,65,41,"Ajamodadi
Churna"
107,62,65,41,Narayana Taila
3,64,22,41,"Guduchyadi Kashaya
Churna"
50,24,65,41,Ashvagandha Churna
41,15,10,41,"Balachaturbhadra
Churna"
45,82,52,25,Vyaghri Haritaki
4,42,47,34,Draksharishta
16,83,64,41,Ashokarishta
69,42,47,41,Chitraka Haritaki
47,8,65,41,Karpuradi Taila
37,24,65,41,Prabhakara Vati
82,65,65,41,Godanti Bhasma
45,82,40,41,"Chyavanprash
Avaleha"
26,105,65,41,Shadabindu Taila
41,15,10,41,"Balachaturbhadra
Churna"
107,57,65,41,"Laghuvishagarbha
Taila"
102,16,57,20,Vatagajankusha Rasa
74,89,0,41,"Saubhagyashunthi
Paka"
108,70,63,17,Kaishora Guggulu
73,74,65,41,Amalaki Churna
93,1,2,41,"Arka Yavani/Arka
Ajvayana"
0,105,65,41,Murivenna Tail
105,99,65,41,"Kshirbala Taila /
Kshirbala Taila
Avarti (Shatapaki)"
44,105,65,41,Saindhavadi Taila
6,1,42,41,Yogaraja Guggulu
6,1,42,41,Yogaraja Guggulu
15,56,65,41,"Varunadi Kvatha
Churna"
66,37,21,41,Navayasa Lauha
105,102,17,35,Punarnava Guggulu
107,30,65,41,Prasarini Taila
110,38,65,41,"Sahacharadi Taila/
Brihatsahcharadi
Taila"
26,105,65,41,Shadabindu Taila
68,42,65,41,"Saptavinshati
Guggulu"
45,82,56,16,"Kushmandaka
Rasayana"
4,2,16,39,Mustakarishta
14,33,31,41,Drakshasava
116,2,65,41,Lahsunadi Vati
23,10,11,38,Kalyanaka Ghrita
118,96,48,41,"Pancha-valkala
Kashaya Churna"
38,18,46,41,Navajivana Rasa
5,4,0,3,"Dhanyapanchaka
Kashaya Churna"
87,93,62,41,Indu kanta Ghrita
26,105,65,41,Shadabindu Taila
115,2,65,41,Bilvadi Gutika
67,105,65,41,Kapardika Bhasma
6,1,65,41,Shunthi Churna
54,105,65,41,Abhayadi Modakam
91,1,9,8,Jirakadyarishta
4,6,65,41,Shankha Bhasma
10,95,50,5,Brahmi Ghrita
15,54,65,41,"Shveta
Parpati/Kshara
Parpati"
68,42,65,41,"Saptavinshati
Guggulu"
4,31,65,41,"Lavanabhaskara
Churna/
Bhaskarlavan churna"
47,8,65,41,Karpuradi Taila
45,82,58,41,Shvasakuthara Rasa
101,26,13,41,Amritadi Guggulu
32,75,0,41,Kutajarishta
63,105,65,41,"Trinapanchamula
Kvatha Churna"
6,98,41,0,Simhanada Guggulu
41,20,65,41,Vettumaran Gulika
45,82,21,41,Dhanvantar Gutika
15,56,65,41,"Varunadi Kvatha
Churna"
37,69,65,41,Arjuna Churna
1,7,65,41,Yavakshar
97,31,12,2,Kalyanak Guda
4,80,65,41,"Hingvashtaka
Churna"
4,2,16,39,Mustakarishta
97,7,65,41,Pippali mula Churna
49,46,65,41,Bala Taila
45,82,52,25,Vyaghri Haritaki
63,105,65,41,"Trinapanchamula
Kvatha Churna"
57,95,21,41,Mukta Pishti
45,82,58,41,Shvasakuthara Rasa
66,37,19,6,Drakshavaleha
35,42,47,26,"Agastya Haritaki
/ Agastya
Rasayana"
66,79,65,41,"Punarnavadi
Mandura"
100,68,51,7,"Puga Khanda/
Supari Paka"
96,47,65,41,Nalpamaradi Taila
18,72,60,41,Jatiphaladya Churna
66,74,65,41,"Vasaguduchyadi
Kashaya Churna"
28,91,65,41,Panchatikta Ghrita
77,43,65,41,Rajahpravartini Vati
25,99,0,13,Balarishta
10,50,49,32,Sarasvatarishta
22,52,65,41,Brahmi Vati
7,105,65,41,Avipattikara Churna
51,105,65,41,"Panchanimba
Churna"
101,26,13,41,Amritadi Guggulu
23,10,11,38,Kalyanaka Ghrita
79,42,47,40,Yashtimadhu/Madhuyashti/ Yashti Churna
68,42,65,41,"Saptavinshati
Guggulu"
19,41,65,41,"Apamargkshara
Taila"
78,105,65,41,Pushyanuga Churna
66,63,0,41,Dadimadi Ghrita
102,46,65,41,"Indukantam
Kashayam Churna"
50,24,65,41,Ashvagandha Churna
68,42,65,41,"Saptavinshati
Guggulu"
41,40,65,41,Sphatika Bhasma
79,36,47,41,Pippali Churna
88,42,32,36,"Dashmula Katutraya
Kvatha Churna"
41,35,65,41,"Samshamani Vati
/ Guduchighana Vati"
70,105,65,41,"Laghu Sutashekhara
Rasa"
66,79,65,41,"Punarnavadi
Mandura"
62,105,65,41,Shatavaryadi Ghrita
102,16,57,20,Vatagajankusha Rasa
27,12,65,41,Sarjarasa Malahara
4,2,16,39,Mustakarishta
29,27,3,1,Kanchanara Guggulu
85,61,65,41,Punarnava Churna
112,93,65,41,"Gandharvahasta
Taila"
41,35,65,41,"Samshamani Vati
/ Guduchighana Vati"
102,16,57,20,Vatagajankusha Rasa
45,82,56,16,"Kushmandaka
Rasayana"
41,71,23,41,Tribhuvankirti Rasa
41,20,65,41,Vettumaran Gulika
82,78,65,41,"Shirahshuladi vajra
Rasa"
72,94,18,12,Rohitakarishta
45,82,21,41,Dhanvantar Gutika
17,14,8,41,Lakshadi Guggulu
117,21,65,41,Jathyadi Ghrita
10,95,50,5,Brahmi Ghrita
73,49,65,41,"Nisha-Amalaki
Churna"
91,1,9,8,Jirakadyarishta
66,74,65,41,"Vasaguduchyadi
Kashaya Churna"
45,82,65,41,Eladi Churna
90,76,65,41,Navak Guggulu
43,92,61,41,Aragvadharishta
18,29,37,41,Kutajavaleha
8,69,29,41,Triphala Churna
43,92,61,41,Aragvadharishta
10,50,49,32,Sarasvatarishta
82,65,65,41,Godanti Bhasma
31,15,65,41,Dadimastak Churna
105,99,65,41,"Kshirbala Taila /
Kshirbala Taila
Avarti (Shatapaki)"
107,62,65,41,Narayana Taila
30,15,65,41,Panchamrita Parpati
96,105,65,41,Tiktaka Ghrita
41,40,65,41,Sphatika Bhasma
23,10,11,38,Kalyanaka Ghrita
22,52,65,41,Brahmi Vati
98,36,34,41,Muktashukti Bhasma
45,82,58,41,Shvasakuthara Rasa
64,60,65,41,Nirgundi Taila
69,42,47,41,Chitraka Haritaki
15,54,65,41,"Shveta
Parpati/Kshara
Parpati"
107,57,65,41,"Laghuvishagarbha
Taila"
26,105,65,41,Shadabindu Taila
90,76,65,41,Navak Guggulu
36,33,65,41,Akika Pishti
16,83,64,41,Ashokarishta
45,82,52,25,Vyaghri Haritaki
45,82,22,22,Vasavaleha
110,38,65,41,"Sahacharadi Taila/
Brihatsahcharadi
Taila"
4,31,65,41,"Lavanabhaskara
Churna/
Bhaskarlavan churna"
88,42,25,41,Sitopaladi Churna
62,105,65,41,Gokshura Churna
41,35,65,41,"Samshamani Vati
/ Guduchighana Vati"
88,42,25,41,Sitopaladi Churna
63,105,65,41,"Trinapanchamula
Kvatha Churna"
15,54,65,41,"Shveta
Parpati/Kshara
Parpati"
45,82,65,41,"Tankana Bhasma/
Saubhagya Bhasma"
6,98,41,0,Simhanada Guggulu
45,82,56,16,"Kushmandaka
Rasayana"
95,48,24,1,Khadirarishta
42,90,65,41,Triphala Ghrita
81,35,65,41,Amritarishta
45,82,38,15,Kanakasava
38,18,46,41,Navajivana Rasa
66,74,65,41,"Vasaguduchyadi
Kashaya Churna"
104,87,16,41,"Vatavidhavansan
Rasa"
8,69,29,41,Triphala Churna
30,15,65,41,Panchamrita Parpati
30,15,1,39,Shankha Vati
41,40,65,41,Sphatika Bhasma
63,105,65,41,"Trinapanchamula
Kvatha Churna"
85,81,65,41,Bilvadi Churna
86,54,21,41,Chandanasava
74,89,0,41,"Saubhagyashunthi
Paka"
14,33,31,41,Drakshasava
104,87,16,41,"Vatavidhavansan
Rasa"
41,15,10,41,"Balachaturbhadra
Churna"
116,2,65,41,Lahsunadi Vati
84,39,15,31,"Haridrakhanda
Paka"
102,16,57,20,Vatagajankusha Rasa
55,2,65,41,Sanjivani Vati
105,99,65,41,"Kshirbala Taila /
Kshirbala Taila
Avarti (Shatapaki)"
98,36,34,41,Muktashukti Bhasma
91,1,9,8,Jirakadyarishta
82,78,65,41,"Shirahshuladi vajra
Rasa"
41,98,65,41,Guduchi Sattva
13,1,54,37,Abhayarishta
38,18,46,41,Navajivana Rasa
81,35,65,41,Amritarishta
85,61,65,41,Punarnava Churna
107,62,65,41,Narayana Taila
105,99,65,41,"Kshirbala Taila /
Kshirbala Taila
Avarti (Shatapaki)"
97,31,12,2,Kalyanak Guda
45,82,39,41,Vasakasava
108,70,63,17,Kaishora Guggulu
37,69,65,41,Arjuna Churna
93,1,2,41,"Arka Yavani/Arka
Ajvayana"
18,72,60,41,Jatiphaladya Churna
21,12,28,9,Triphala Guggulu
52,73,65,41,Gandhak Rasayana
24,2,55,0,Arka Pudina
1,7,65,41,Yavakshar
45,82,40,41,"Chyavanprash
Avaleha"
14,33,31,41,Drakshasava
72,94,18,12,Rohitakarishta
45,82,65,41,"Tankana Bhasma/
Saubhagya Bhasma"
33,105,65,41,"Trayodashanga
Guggulu"
4,105,65,41,Chitrakadi Gutika
89,48,65,41,"Somaraji Taila
/Bakuchi Taila"
100,68,51,7,"Puga Khanda/
Supari Paka"
15,54,65,41,"Shveta
Parpati/Kshara
Parpati"
59,23,65,41,"Dashanasanskara
Churna"
102,46,65,41,"Indukantam
Kashayam Churna"
40,13,0,24,Bilvadi Leha
100,68,51,7,"Puga Khanda/
Supari Paka"
76,44,30,21,Kumaryasava
18,28,65,41,Kutajaghan Vati
39,97,33,29,"Rasnasaptaka
Kashaya Churna"
102,46,65,41,"Indukantam
Kashayam Churna"
50,103,65,41,"Laghumalini Vasanta
Rasa"
82,65,65,41,Godanti Bhasma
93,1,2,41,"Arka Yavani/Arka
Ajvayana"
24,2,55,0,Arka Pudina
85,81,65,41,Bilvadi Churna
31,1,18,30,Pippalyadyasava
35,42,47,26,"Agastya Haritaki
/ Agastya
Rasayana"
45,82,65,41,Lavangadi Vati
107,58,65,41,Mahanarayan Taila
45,82,56,16,"Kushmandaka
Rasayana"
96,105,65,41,Tiktaka Ghrita
41,40,65,41,Sphatika Bhasma
67,105,65,41,Kapardika Bhasma
50,103,65,41,"Laghumalini Vasanta
Rasa"
97,7,65,41,Pippali mula Churna
24,2,55,0,Arka Pudina
77,43,65,41,Rajahpravartini Vati
103,24,36,41,Dashamularishta
116,2,65,41,Lahsunadi Vati
16,83,64,41,Ashokarishta
37,74,65,41,"Jaharamohara
Bhasma"
61,9,43,33,"Ashvagandharisht
a"
68,42,65,41,"Saptavinshati
Guggulu"
109,30,65,41,Eranda Taila
117,21,65,41,Jathyadi Ghrita
45,82,65,41,Lavangadi Vati
95,48,24,1,Khadirarishta
4,2,16,39,Mustakarishta
45,82,39,41,Vasakasava
41,35,65,41,"Samshamani Vati
/ Guduchighana Vati"
78,105,65,41,Pushyanuga Churna
45,82,65,41,Eladi Churna
42,90,65,41,Triphala Ghrita
107,62,65,41,Narayana Taila
41,40,65,41,Sphatika Bhasma
40,13,0,24,Bilvadi Leha
80,105,65,41,Panchaguna Taila
76,44,30,21,Kumaryasava
64,60,65,41,Nirgundi Taila
53,36,59,12,Guduchi Churna
73,105,65,41,Chandraprabha Vati
96,47,65,41,Nalpamaradi Taila
12,3,65,41,Trikatu Churna
67,105,65,41,Kapardika Bhasma
10,95,50,5,Brahmi Ghrita
111,94,65,41,Haritaki Churna
39,97,33,29,"Rasnasaptaka
Kashaya Churna"
18,29,37,41,Kutajavaleha
91,1,9,8,Jirakadyarishta
52,73,65,41,Gandhak Rasayana
29,27,3,1,Kanchanara Guggulu
