0,1,2,3,target
60,105,65,41,"Khadiradi Gutika
(Mukhroga)"
41,20,65,41,Vettumaran Gulika
97,7,65,41,Pippali mula Churna
104,87,16,41,"Vatavidhavansan
Rasa"
8,69,29,41,Triphala Churna
13,105,65,41,Kasisadi Taila
21,12,65,41,Ksharsutra
41,71,23,41,Tribhuvankirti Rasa
66,74,65,41,"Vasaguduchyadi
Kashaya Churna"
13,105,65,41,Arsho Kuthara Rasa
102,16,57,20,Vatagajankusha Rasa
45,82,52,25,Vyaghri Haritaki
4,42,47,34,Draksharishta
41,20,65,41,Vettumaran Gulika
4,2,16,39,Mustakarishta
7,74,65,41,Kamadudha Rasa
92,25,65,41,Saptamrita Lauha
45,82,56,16,"Kushmandaka
Rasayana"
45,82,21,41,Dhanvantar Gutika
107,59,65,41,"Dhanvantar
Taila/Dhanvantar
Taila Avarti"
66,37,21,41,Navayasa Lauha
26,105,65,41,Shadabindu Taila
32,75,0,41,Kutajarishta
92,25,65,41,Saptamrita Lauha
79,42,47,40,Yashtimadhu/Madhuyashti/ Yashti Churna
118,96,48,41,"Pancha-valkala
Kashaya Churna"
88,42,32,36,"Dashmula Katutraya
Kvatha Churna"
56,34,65,41,Brahama Rasayana
100,68,51,7,"Puga Khanda/
Supari Paka"
6,1,65,41,Shunthi Churna
117,101,65,41,Jatyadi Taila
18,28,65,41,Kutajaghan Vati
96,47,65,41,Nalpamaradi Taila
59,23,65,41,"Dashanasanskara
Churna"
45,82,52,25,Vyaghri Haritaki
102,16,57,20,Vatagajankusha Rasa
18,29,37,41,Kutajavaleha
37,74,65,41,"Jaharamohara
Bhasma"
87,93,62,41,Indu kanta Ghrita
62,105,65,41,Shatavaryadi Ghrita
105,99,65,41,"Kshirbala Taila /
Kshirbala Taila
Avarti (Shatapaki)"
66,37,19,6,Drakshavaleha
53,36,59,12,Guduchi Churna
107,5,65,41,"Kottamachukkadi
Taila"
35,42,47,11,Kantakaryavaleha
54,105,65,41,Abhayadi Modakam
88,42,25,41,Sitopaladi Churna
37,24,65,41,Prabhakara Vati
45,82,65,41,Eladi Churna
59,105,65,41,Erimedadi Taila
20,105,65,41,"Balashvagandhadi
Taila"
50,103,65,41,"Laghumalini Vasanta
Rasa"
29,27,3,1,Kanchanara Guggulu
37,32,20,18,"Arjunarishta/
Parthadyarishta"
107,57,65,41,"Laghuvishagarbha
Taila"
110,38,65,41,"Sahacharadi Taila/
Brihatsahcharadi
Taila"
36,33,65,41,Akika Pishti
13,105,65,41,Arsho Kuthara Rasa
85,61,65,41,Punarnava Churna
89,48,65,41,"Somaraji Taila
/Bakuchi Taila"
67,105,65,41,Kapardika Bhasma
96,47,65,41,Nalpamaradi Taila
107,5,65,41,"Kottamachukkadi
Taila"
65,11,65,41,"Elanirkuzambu/N
alikeranjana"
108,70,63,17,Kaishora Guggulu
54,31,65,41,Trivritamul Churna /Trivrita Churna
0,105,65,41,Murivenna Tail
56,34,65,41,Brahama Rasayana
41,88,45,27,"Dashamula Kvatha
Churna"
45,82,39,41,Vasakasava
84,39,15,31,"Haridrakhanda
Paka"
108,70,63,17,Kaishora Guggulu
55,0,45,14,"Arka Shatpushpa/
Mishr eyarka"
